Date,Open,High,Low,Close,Volume
09/30/2025,"103.00","103.94","102.72","103.06","13,873,390"
09/29/2025,"103.05","103.31","102.08","103.08","15,477,160"
09/26/2025,"102.88","103.49","102.47","103.16","11,859,270"
09/25/2025,"103.22","103.51","102.58","103.05","13,366,750"
09/24/2025,"103.04","103.47","102.48","102.73","11,391,830"
09/23/2025,"102.41","102.68","101.33","102.52","13,158,660"
09/22/2025,"102.45","103.20","101.92","102.82","12,861,950"
09/19/2025,"103.81","103.94","102.09","102.33","34,791,566"
09/18/2025,"103.78","104.64","102.12","103.60","14,869,390"
09/17/2025,"103.73","106.11","103.73","104.27","25,382,020"
09/16/2025,"103.85","104.21","103.13","103.42","14,481,860"
09/15/2025,"103.65","103.98","103.41","103.69","10,756,880"
09/12/2025,"102.54","103.98","102.36","103.49","11,641,930"
09/11/2025,"100.99","102.78","100.28","102.65","15,900,790"
09/10/2025,"101.95","102.45","100.39","100.41","17,934,869"
09/09/2025,"102.00","102.49","101.55","102.29","11,819,660"
09/08/2025,"100.85","102.36","100.42","102.28","13,685,740"
09/05/2025,"101.08","101.48","99.55","100.51","13,748,450"
09/04/2025,"99.91","101.35","99.65","100.93","15,640,900"
09/03/2025,"97.85","99.44","97.50","99.44","18,995,910"
09/02/2025,"97.23","97.85","96.51","97.85","15,351,290"
